source,file_path,sheet_name,mime_type,labels_path,uuid
abs_spreadsheets,spreadsheets/5368037c__0.xlsx,Data1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_32c64b02-3a3c-45d9-bade-49dae41aafea.npz,32c64b02-3a3c-45d9-bade-49dae41aafea
abs_spreadsheets,spreadsheets/3401017__3.xlsx,Table 17.5,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_3d10dbea-7dd3-4a63-b6dc-aca3a7df9d44.npz,3d10dbea-7dd3-4a63-b6dc-aca3a7df9d44
abs_spreadsheets,spreadsheets/6524055002_DO005__4.xlsx,Table 5.1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_7a3cdff8-728c-45b0-a485-1c94be9486a3.npz,7a3cdff8-728c-45b0-a485-1c94be9486a3
abs_spreadsheets,spreadsheets/55120DO019_202223__5.xlsx,Table_2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_e39f2923-041a-4c6b-afcb-7348b724d68f.npz,e39f2923-041a-4c6b-afcb-7348b724d68f
abs_spreadsheets,spreadsheets/87620018__7.xlsx,Data1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_6926624b-41f9-4072-b6d8-494333158db4.npz,6926624b-41f9-4072-b6d8-494333158db4
abs_spreadsheets,spreadsheets/87310061__10.xls,Data1,application/vnd.ms-excel,annotations/annotations_7212905d-6f3a-459f-934d-06c305aa97a0.npz,7212905d-6f3a-459f-934d-06c305aa97a0
abs_spreadsheets,spreadsheets/87520062__12.xlsx,Data1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_0a01b336-7103-403d-9417-585d5aa16457.npz,0a01b336-7103-403d-9417-585d5aa16457
abs_spreadsheets,spreadsheets/EQ08__13.xlsx,Table 1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_3654bb65-4c9e-4be7-8adc-e8df3a6e8ca5.npz,3654bb65-4c9e-4be7-8adc-e8df3a6e8ca5
abs_spreadsheets,spreadsheets/565507__14.xls,Data1,application/vnd.ms-excel,annotations/annotations_15683aa2-87f7-40a8-949c-eb0f011879e2.npz,15683aa2-87f7-40a8-949c-eb0f011879e2
abs_spreadsheets,spreadsheets/55120DO055_202223__15.xlsx,Table_2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_c0f88b67-73a0-4fb6-a782-bbb51b5a2c3d.npz,c0f88b67-73a0-4fb6-a782-bbb51b5a2c3d
abs_spreadsheets,spreadsheets/34150DS0091_2016_Marriages%20and%20Divorces_Migrants__16.xls,Table 1,application/vnd.ms-excel,annotations/annotations_adc9abad-b64c-4d2c-bc8b-15584e34972a.npz,adc9abad-b64c-4d2c-bc8b-15584e34972a
abs_spreadsheets,spreadsheets/560126__18.xlsx,Data1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_9afa82e6-7b65-4e13-83db-a14ed577a1f1.npz,9afa82e6-7b65-4e13-83db-a14ed577a1f1
abs_spreadsheets,spreadsheets/6291029a__20.xlsx,Data1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_f44c841b-6601-449a-8b7a-e193c2216b7a.npz,f44c841b-6601-449a-8b7a-e193c2216b7a
abs_spreadsheets,spreadsheets/6291024a__21.xlsx,Data4,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_04864b27-8f2c-4255-9088-2039927591d3.npz,04864b27-8f2c-4255-9088-2039927591d3
abs_spreadsheets,spreadsheets/87310064__22.xls,Data1,application/vnd.ms-excel,annotations/annotations_e2b8fea8-eccf-412d-b44f-ea4f6e7da42e.npz,e2b8fea8-eccf-412d-b44f-ea4f6e7da42e
abs_spreadsheets,spreadsheets/87520020__25.xlsx,Data1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_8d18da5a-9824-4cd7-9102-9c11666f231e.npz,8d18da5a-9824-4cd7-9102-9c11666f231e
abs_spreadsheets,spreadsheets/5368036c__26.xlsx,Data1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_76b64b53-cc70-417c-b6b3-233a970b24b1.npz,76b64b53-cc70-417c-b6b3-233a970b24b1
abs_spreadsheets,spreadsheets/5220020_Annual_Household_AUS__27.xls,Data1,application/vnd.ms-excel,annotations/annotations_47523213-db99-4cab-81b8-c57504b8b766.npz,47523213-db99-4cab-81b8-c57504b8b766
abs_spreadsheets,spreadsheets/7215017__28.xls,Data1,application/vnd.ms-excel,annotations/annotations_73192312-1ffc-40d7-8906-072d0d83989a.npz,73192312-1ffc-40d7-8906-072d0d83989a
abs_spreadsheets,spreadsheets/310102__29.xls,Data1,application/vnd.ms-excel,annotations/annotations_b780845e-7803-4bfd-aca1-944eeadcb007.npz,b780845e-7803-4bfd-aca1-944eeadcb007
abs_spreadsheets,spreadsheets/560128__30.xls,Data1,application/vnd.ms-excel,annotations/annotations_4efb2d40-1a5f-4f36-a7a4-87ae2efd3a9e.npz,4efb2d40-1a5f-4f36-a7a4-87ae2efd3a9e
abs_spreadsheets,spreadsheets/Employed%20Persons-Commentary%20Graphs%20for%20Main%20Features__31.xls,Sheet1,application/vnd.ms-excel,annotations/annotations_76cfbaad-7805-4184-890d-3107b89ed78f.npz,76cfbaad-7805-4184-890d-3107b89ed78f
abs_spreadsheets,spreadsheets/8755005__32.xls,Data1,application/vnd.ms-excel,annotations/annotations_9747676f-8864-40e4-a125-fb09c500781a.npz,9747676f-8864-40e4-a125-fb09c500781a
abs_spreadsheets,spreadsheets/5206034_key_aggregates_and_analytical_series_annual_data__33.xls,Data1,application/vnd.ms-excel,annotations/annotations_ad861c3c-1ee1-4006-8805-10491dd74da3.npz,ad861c3c-1ee1-4006-8805-10491dd74da3
abs_spreadsheets,spreadsheets/56760018__34.xlsx,Data1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_df912b13-bfe6-462b-a224-25313e89b460.npz,df912b13-bfe6-462b-a224-25313e89b460
abs_spreadsheets,spreadsheets/6291003__35.xlsx,Data3,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_1bd1ad9d-0d15-42c6-a1af-07c21de0ea4e.npz,1bd1ad9d-0d15-42c6-a1af-07c21de0ea4e
abs_spreadsheets,spreadsheets/64570do001_202006__36.xls,Table_2,application/vnd.ms-excel,annotations/annotations_123d7c6e-3a14-4719-ac2b-0d9870803a64.npz,123d7c6e-3a14-4719-ac2b-0d9870803a64
abs_spreadsheets,spreadsheets/5368036d__37.xlsx,Data2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_14be90d2-ccfe-44a3-9be9-a4ea59239e84.npz,14be90d2-ccfe-44a3-9be9-a4ea59239e84
abs_spreadsheets,spreadsheets/5206002_Expenditure_Volume_Measures__39.xls,Data1,application/vnd.ms-excel,annotations/annotations_0a9e3d8f-12be-4bfd-b8ae-b1af7adc737a.npz,0a9e3d8f-12be-4bfd-b8ae-b1af7adc737a
abs_spreadsheets,spreadsheets/3401015__40.xlsx,Table 1.2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_2982cc88-11d0-433e-a1c4-c274eaa48642.npz,2982cc88-11d0-433e-a1c4-c274eaa48642
abs_spreadsheets,spreadsheets/5676005__41.xls,Data1,application/vnd.ms-excel,annotations/annotations_e70ff021-b2f3-4c8c-be67-6cb9762c74ac.npz,e70ff021-b2f3-4c8c-be67-6cb9762c74ac
abs_spreadsheets,spreadsheets/87310do024_202212__42.xlsx,Table_1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_72d0fbfe-f9a6-47b0-8604-d6772261280d.npz,72d0fbfe-f9a6-47b0-8604-d6772261280d
abs_spreadsheets,spreadsheets/8731005__43.xls,Data1,application/vnd.ms-excel,annotations/annotations_51f808fa-8d71-4be1-9411-db2767c98da2.npz,51f808fa-8d71-4be1-9411-db2767c98da2
abs_spreadsheets,spreadsheets/5368031__45.xls,Data1,application/vnd.ms-excel,annotations/annotations_6688c6fc-3abb-411b-bbf3-ad7c8a7450fd.npz,6688c6fc-3abb-411b-bbf3-ad7c8a7450fd
abs_spreadsheets,spreadsheets/3101056__46.xls,Data1,application/vnd.ms-excel,annotations/annotations_18d96f14-639d-4c9f-bd63-6d8964b16131.npz,18d96f14-639d-4c9f-bd63-6d8964b16131
abs_spreadsheets,spreadsheets/5368091__50.xlsx,Data1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_162f8967-53e7-4bda-ae08-d053e3e53e7c.npz,162f8967-53e7-4bda-ae08-d053e3e53e7c
abs_spreadsheets,spreadsheets/5681010_Information_media_telecommunications__51.xlsx,Data1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_77a0c4ea-175a-4ccb-a243-56019535ccaf.npz,77a0c4ea-175a-4ccb-a243-56019535ccaf
abs_spreadsheets,spreadsheets/560115__52.xlsx,Data1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_2c298f60-ddfe-4996-bf10-7e848f9b03e0.npz,2c298f60-ddfe-4996-bf10-7e848f9b03e0
abs_spreadsheets,spreadsheets/560123__54.xlsx,Data1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_93dfbce3-4055-4c95-9b5c-544d43bc739b.npz,93dfbce3-4055-4c95-9b5c-544d43bc739b
abs_spreadsheets,spreadsheets/87520042__56.xlsx,Data1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_f0b3554c-6bcd-4e18-bc2f-8cbc74c80183.npz,f0b3554c-6bcd-4e18-bc2f-8cbc74c80183
abs_spreadsheets,spreadsheets/5368034__57.xls,Data1,application/vnd.ms-excel,annotations/annotations_7c4cc1d7-04de-4c76-9d3d-dad1f9ec2cf0.npz,7c4cc1d7-04de-4c76-9d3d-dad1f9ec2cf0
abs_spreadsheets,spreadsheets/55120DO034_201920__59.xls,Table_2,application/vnd.ms-excel,annotations/annotations_0c43a0c0-6725-495c-a542-f97a199a7df7.npz,0c43a0c0-6725-495c-a542-f97a199a7df7
abs_spreadsheets,spreadsheets/13500DO015_200910__60.xls,Table_18,application/vnd.ms-excel,annotations/annotations_3dc17906-327c-4e12-bd76-5cab92bad079.npz,3dc17906-327c-4e12-bd76-5cab92bad079
abs_spreadsheets,spreadsheets/5206038_National_Income_Account_Annual__61.xlsx,Data1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_1c844969-01d6-4540-85a2-c53a72e5104f.npz,1c844969-01d6-4540-85a2-c53a72e5104f
abs_spreadsheets,spreadsheets/63020014C__63.xlsx,Data1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_7e416fe0-576e-4eec-89fa-7141af44089d.npz,7e416fe0-576e-4eec-89fa-7141af44089d
abs_spreadsheets,spreadsheets/87310do014_202001__66.xls,Table_1,application/vnd.ms-excel,annotations/annotations_b99c4f1a-e33b-462d-a61d-52a65d01dc8f.npz,b99c4f1a-e33b-462d-a61d-52a65d01dc8f
abs_spreadsheets,spreadsheets/560108__70.xlsx,Data1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,annotations/annotations_8d3352db-5c31-4f02-a3ad-5b4ea8cc9790.npz,8d3352db-5c31-4f02-a3ad-5b4ea8cc9790
